X,Y,ID,BLOC,DAM,SIRE,year,height,circumference,flexuosity
16,32,16:32,B9,104.0,109.0,2003,840.0,257.0,4.0
16,32,16:32,B9,104.0,109.0,2000,475.0,150.0,4.0
16,32,16:32,B9,104.0,109.0,1999,360.0,,
16,32,16:32,B9,104.0,109.0,1998,289.0,,5.0
16,32,16:32,B9,104.0,109.0,1997,167.0,,
39,39,39:39,B11,104.0,109.0,2003,1000.0,284.0,4.0
39,39,39:39,B11,104.0,109.0,2000,500.0,158.0,4.0
39,39,39:39,B11,104.0,109.0,1999,402.0,,
39,39,39:39,B11,104.0,109.0,1998,197.0,,4.0
39,39,39:39,B11,104.0,109.0,1997,120.0,,
35,68,35:68,B12,104.0,109.0,2003,960.0,290.0,5.0
35,68,35:68,B12,104.0,109.0,2000,472.0,160.0,5.0
35,68,35:68,B12,104.0,109.0,1999,310.0,,
35,68,35:68,B12,104.0,109.0,1998,173.0,,5.0
35,68,35:68,B12,104.0,109.0,1997,82.0,,
25,30,25:30,B15,104.0,109.0,2003,1010.0,288.0,5.0
25,30,25:30,B15,104.0,109.0,2000,500.0,186.0,4.0
25,30,25:30,B15,104.0,109.0,1999,420.0,,
25,30,25:30,B15,104.0,109.0,1998,227.0,,5.0
25,30,25:30,B15,104.0,109.0,1997,96.0,,
36,55,36:55,B8,104.0,109.0,2003,950.0,302.0,4.0
36,55,36:55,B8,104.0,109.0,2000,549.0,192.0,4.0
36,55,36:55,B8,104.0,109.0,1999,440.0,,
36,55,36:55,B8,104.0,109.0,1998,241.0,,5.0
36,55,36:55,B8,104.0,109.0,1997,105.0,,
8,33,8:33,B5,104.0,109.0,2014,234.0,930.0,
8,33,8:33,B5,104.0,109.0,2009,181.0,754.0,3.0
8,33,8:33,B5,104.0,109.0,2003,1060.0,478.0,3.0
8,33,8:33,B5,104.0,109.0,2000,623.0,227.0,4.0
8,33,8:33,B5,104.0,109.0,1999,445.0,,
8,33,8:33,B5,104.0,109.0,1998,274.0,,4.0
8,33,8:33,B5,104.0,109.0,1997,120.0,,
31,32,31:32,B16,104.0,109.0,2009,176.0,694.0,3.0
31,32,31:32,B16,104.0,109.0,2003,1080.0,395.0,4.0
31,32,31:32,B16,104.0,109.0,2000,597.0,238.0,4.0
31,32,31:32,B16,104.0,109.0,1999,485.0,,
31,32,31:32,B16,104.0,109.0,1998,298.0,,4.0
31,32,31:32,B16,104.0,109.0,1997,140.0,,
16,56,16:56,B4,104.0,109.0,2003,900.0,433.0,4.0
16,56,16:56,B4,104.0,109.0,2000,530.0,241.0,4.0
16,56,16:56,B4,104.0,109.0,1999,430.0,,
16,56,16:56,B4,104.0,109.0,1998,256.0,,5.0
16,56,16:56,B4,104.0,109.0,1997,140.0,,
66,50,66:50,B1,104.0,109.0,2009,180.0,722.0,4.0
66,50,66:50,B1,104.0,109.0,2003,1150.0,470.0,4.0
66,50,66:50,B1,104.0,109.0,2000,617.0,265.0,4.0
66,50,66:50,B1,104.0,109.0,1999,468.0,,
66,50,66:50,B1,104.0,109.0,1998,271.0,,5.0
66,50,66:50,B1,104.0,109.0,1997,144.0,,
27,39,27:39,B7,104.0,109.0,2014,248.0,886.0,
27,39,27:39,B7,104.0,109.0,2009,201.0,736.0,4.0
27,39,27:39,B7,104.0,109.0,2003,1120.0,492.0,5.0
27,39,27:39,B7,104.0,109.0,2000,670.0,285.0,5.0
27,39,27:39,B7,104.0,109.0,1999,470.0,,
27,39,27:39,B7,104.0,109.0,1998,247.0,,5.0
27,39,27:39,B7,104.0,109.0,1997,98.0,,
34,70,34:70,B12,106.0,109.0,2003,770.0,204.0,4.0
34,70,34:70,B12,106.0,109.0,2000,348.0,105.0,5.0
34,70,34:70,B12,106.0,109.0,1999,255.0,,
